City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Souillac,MU,-20.5167,57.5167,70.9,70,26,15.35,scattered clouds
335,Emba,KZ,48.8264,58.1442,79.97,29,87,10.76,overcast clouds
336,Warwick,US,41.7001,-71.4162,78.76,86,20,9.22,mist
337,Bathsheba,BB,13.2167,-59.5167,83.01,87,40,21.85,scattered clouds
338,Taoudenni,ML,22.6783,-3.9836,89.89,42,21,6.85,few clouds
339,Belomorsk,RU,64.5232,34.7668,71.65,67,100,6.58,overcast clouds
340,Grevena,GR,40.0845,21.4274,69.01,47,0,4.07,clear sky
341,Lalsk,RU,60.7415,47.5862,68.97,65,23,6.49,few clouds
342,Codrington,AU,-38.2667,141.9667,58.78,68,100,13.51,overcast clouds
343,Raga,SS,8.4596,25.678,66.38,97,100,1.81,overcast clouds
344,Lashio,MM,22.9333,97.75,78.24,89,82,0.78,broken clouds
345,Port Lincoln,AU,-34.7333,135.8667,60.15,55,100,14.88,overcast clouds
346,Qaqortoq,GL,60.7167,-46.0333,45.99,85,17,6.71,few clouds
347,Jaisalmer,IN,26.9147,70.9181,86.27,67,95,14.85,overcast clouds
